WP,B_1000,B_1007,B_1014,B_1020,B_1027,B_1034,B_1041,B_1048,B_1055,B_1062,B_1069,B_1076,B_1083,B_1090,B_1097,B_1104,B_1111,B_1118,B_1125,B_1132,B_1139,B_1146,B_1153,B_1160,B_1167,B_1174,B_1181,B_1188,B_1195,B_1202,B_1209,B_1216,B_1223,B_1230,B_1237,B_1244,B_1251,B_1258,B_1265,B_1272,B_1279,B_1286,B_1293,B_1300,B_1307,B_1314,B_1321,B_1328,B_1335,B_1342,B_1349,B_1356,B_1363,B_1370,B_1377,B_1384,B_1391,B_1398,B_1405,B_1413,B_1420,B_1427,B_1434,B_1441,B_1448,B_1455,B_1462,B_1469,B_1476,B_1483,B_1490,B_1498,B_1505,B_1512,B_1519,B_1526,B_1533,B_1540,B_1547,B_1554,B_1561,B_1569,B_1576,B_1583,B_1590,B_1597,B_1604,B_1611,B_1618,B_1626,B_1633,B_1640,B_1647,B_1654,B_1661,B_1668,B_1676
-0.2206323,0.159577536,0.160830143,0.162221036,0.163353571,0.164475679,0.165707464,0.166975071,0.16790775,0.168500214,0.169622357,0.170469143,0.170990393,0.171658179,0.172160536,0.172486821,0.172784321,0.172907393,0.172695857,0.171882357,0.170080071,0.167042821,0.162954536,0.159371286,0.157279929,0.15623075,0.155689857,0.155258714,0.154914179,0.15469675,0.154911714,0.155562714,0.157002357,0.15887425,0.160490464,0.162122786,0.16343175,0.164314964,0.165200214,0.165973929,0.166400714,0.166799929,0.166533571,0.16580425,0.16477425,0.162748,0.160033857,0.156730679,0.14975074271428573,0.14277080642857143,0.13579087014285715,0.12881093385714287,0.12183099757142858,0.11485106128571429,0.10787112500000001,0.10089118871428572,0.09391125242857143,0.08693131614285715,0.07995137985714286,0.07297144357142857,0.06599150728571429,0.059011571,0.056390857,0.054769857,0.053981929,0.053587786,0.053481607,0.053840107,0.054886893,0.05632075,0.0580165,0.059927964,0.062348,0.064525607,0.066933964,0.069335821,0.07172625,0.073954893,0.076089357,0.078261714,0.080510214,0.082529536,0.084554607,0.086576214,0.088405071,0.090159464,0.091869857,0.093628393,0.095293393,0.096890071,0.098312286,0.099547071,0.100607,0.101147536,0.101375321,0.101232536,0.100890179,0.100462321
-0.9652663,0.153168714,0.154380857,0.155774786,0.156804179,0.157668714,0.158858357,0.15988625,0.160767821,0.161231286,0.162121679,0.162701214,0.16332,0.163731893,0.163979357,0.1641665,0.164170071,0.164110893,0.163924393,0.163016679,0.161180714,0.158156214,0.154013607,0.15059275,0.148631464,0.147480607,0.1469325,0.146348357,0.145965393,0.145621607,0.145721929,0.146277679,0.147445321,0.148991964,0.150389714,0.151642179,0.152678,0.153306214,0.153908536,0.154548857,0.154750857,0.154901464,0.154584536,0.15371275,0.152498,0.15047625,0.147803357,0.144723357,0.13823391314285713,0.1317444692857143,0.12525502542857142,0.11876558157142858,0.11227613771428571,0.10578669385714286,0.09929725,0.09280780614285715,0.0863183622857143,0.07982891842857144,0.07333947457142859,0.06685003071428572,0.060360586857142864,0.053871143,0.051523214,0.050015821,0.049209643,0.04880625,0.04877925,0.049099857,0.050122179,0.051512179,0.053073607,0.054886536,0.057196143,0.0592965,0.061496,0.063778179,0.066042786,0.06817575,0.0701925,0.072191821,0.074245321,0.076218893,0.078201821,0.080087393,0.081734643,0.083342321,0.084851071,0.08630975,0.087745643,0.08912425,0.0904365,0.091319321,0.092274786,0.092693107,0.092947429,0.092831857,0.092269929,0.091780107
-0.2275271,0.122927036,0.123912893,0.124877536,0.125621821,0.126277643,0.1270735,0.127730107,0.128375679,0.128652643,0.129200821,0.129618,0.129772536,0.130136536,0.130251214,0.130336286,0.130340857,0.130174357,0.129886893,0.129183679,0.127565214,0.125113821,0.121930071,0.119467143,0.118016464,0.1173195,0.117153857,0.116895179,0.116629679,0.1165275,0.116644929,0.117095357,0.117936107,0.118950714,0.1198895,0.120859071,0.1214295,0.121829643,0.122325714,0.122726429,0.122905036,0.12307325,0.1228035,0.122147857,0.121380821,0.119903321,0.118052821,0.115868071,0.11156998428571428,0.10727189757142858,0.10297381085714286,0.09867572414285715,0.09437763742857143,0.09007955071428572,0.085781464,0.08148337728571428,0.07718529057142857,0.07288720385714287,0.06858911714285715,0.06429103042857143,0.059992943714285714,0.055694857,0.0543245,0.053537714,0.053175429,0.053060286,0.05308775,0.053347893,0.05415375,0.055065071,0.056114357,0.057276821,0.058795714,0.060099036,0.061723071,0.063171286,0.064718143,0.066153893,0.067500571,0.068956786,0.07034275,0.071673,0.072867321,0.074122393,0.07529075,0.076499393,0.077638107,0.078679393,0.079744357,0.080851143,0.081834393,0.082535393,0.083192821,0.083469643,0.083618429,0.08362275,0.083323214,0.08310875
-0.172369,0.163583286,0.164702,0.166077357,0.167072107,0.167787357,0.168767143,0.169766143,0.170314714,0.1706065,0.1712355,0.171647357,0.172041964,0.17225025,0.1721535,0.171946214,0.17169225,0.171207107,0.17045675,0.16911125,0.16657075,0.162533107,0.157563429,0.15336375,0.150995071,0.149740679,0.149069214,0.148404357,0.147787964,0.147344643,0.14745325,0.147851107,0.148927036,0.150545,0.152021,0.153408964,0.1543595,0.154997857,0.155585393,0.156249786,0.15628025,0.156289714,0.155944607,0.154991536,0.153678929,0.1515185,0.14871825,0.145370857,0.1394129769285714,0.13345509685714285,0.12749721678571427,0.12153933671428571,0.11558145664285714,0.10962357657142857,0.10366569649999999,0.09770781642857143,0.09174993635714285,0.08579205628571429,0.07983417621428571,0.07387629614285714,0.06791841607142857,0.061960536,0.05986125,0.058691679,0.058105893,0.057868679,0.057928429,0.058297036,0.059354857,0.060594786,0.062058786,0.063764357,0.065850214,0.067680821,0.069656286,0.071646214,0.073532643,0.075348536,0.077116821,0.078890214,0.080737,0.082350643,0.083877321,0.085574857,0.087039571,0.088515107,0.089928643,0.091233036,0.092534214,0.093919071,0.095187214,0.0962005,0.096997464,0.097390214,0.097489893,0.097175071,0.0966005,0.096068464
-0.5653702,0.135543786,0.136358143,0.137446071,0.138204107,0.138924107,0.139874786,0.14067525,0.141223571,0.141693714,0.142416,0.142906393,0.143366607,0.143745107,0.143976714,0.144188071,0.144329964,0.144360857,0.144184893,0.143439464,0.142038393,0.139704571,0.136483179,0.133897107,0.132447179,0.131683179,0.131482179,0.131217893,0.131049393,0.13099525,0.131225429,0.131805643,0.132923429,0.134374321,0.135558071,0.136897821,0.137991964,0.138559357,0.139285536,0.139956571,0.140277357,0.140583357,0.140413286,0.139943786,0.139298536,0.137903071,0.135964286,0.133621821,0.12864104807142857,0.12366027514285714,0.11867950221428572,0.11369872928571428,0.10871795635714286,0.10373718342857144,0.0987564105,0.09377563757142857,0.08879486464285714,0.08381409171428572,0.07883331878571428,0.07385254585714286,0.06887177292857143,0.063891,0.062113464,0.061075643,0.060678893,0.060564214,0.060661536,0.061088393,0.061972786,0.063209393,0.064559464,0.066146571,0.068081964,0.069774821,0.071684,0.073487571,0.075268857,0.076850893,0.078458036,0.080067071,0.081677679,0.083156071,0.084655071,0.086247964,0.0876915,0.088972536,0.090324643,0.091508607,0.092801107,0.094140643,0.095216929,0.096008071,0.096834286,0.097183286,0.097322429,0.097204536,0.0967375,0.09634975
-0.7170549,0.2043855,0.20611375,0.208019679,0.209524464,0.210866179,0.212453929,0.213932214,0.21492375,0.21554975,0.216686143,0.217344893,0.217855857,0.21819,0.218259786,0.218295286,0.218070821,0.217641179,0.216785036,0.214947143,0.211281214,0.205467464,0.198251464,0.192411786,0.189203179,0.187601179,0.186829679,0.1861165,0.185465357,0.1851355,0.185349857,0.186189964,0.187871464,0.190097714,0.192174857,0.194217607,0.195733857,0.196687679,0.197622321,0.198451071,0.198614643,0.198843679,0.198156321,0.19680275,0.194854214,0.191682714,0.18763575,0.182887857,0.1748879182142857,0.16688797942857142,0.15888804064285714,0.15088810185714285,0.14288816307142857,0.1348882242857143,0.12688828549999998,0.1188883467142857,0.11088840792857142,0.10288846914285714,0.09488853035714286,0.08688859157142856,0.07888865278571427,0.070888714,0.068355393,0.066860857,0.0662255,0.066003,0.066107536,0.06658825,0.067904821,0.069655786,0.071608321,0.073756607,0.076455786,0.078802429,0.081341964,0.08393525,0.086536357,0.088858964,0.091094071,0.093387214,0.09579325,0.097889571,0.100104143,0.102181357,0.104066536,0.106114857,0.108093036,0.109911821,0.111732393,0.113521571,0.1151285,0.1164325,0.117444357,0.117976893,0.118233,0.118075036,0.117370214,0.116562429
-1.2410566,0.190771679,0.191986107,0.193376429,0.194388429,0.195232714,0.196059714,0.197002714,0.197593929,0.197882929,0.198639357,0.198993607,0.199274857,0.1995155,0.199424357,0.199258,0.199146607,0.198821321,0.198144464,0.196836071,0.1942975,0.190259464,0.185064179,0.180826393,0.178394357,0.177090286,0.176512893,0.175818321,0.175279214,0.174916429,0.174983607,0.175477536,0.176617036,0.1783545,0.1797705,0.181212071,0.182222214,0.182843,0.183311786,0.183818714,0.183849464,0.183930714,0.183371214,0.182235429,0.18084975,0.178566857,0.17556,0.172017964,0.16496987985714284,0.15792179571428572,0.15087371157142856,0.1438256274285714,0.1367775432857143,0.12972945914285713,0.122681375,0.11563329085714286,0.1085852067142857,0.10153712257142856,0.09448903842857143,0.08744095428571427,0.08039287014285713,0.073344786,0.070965143,0.069652071,0.069075643,0.068882321,0.068942607,0.069459857,0.070732679,0.072345964,0.074184107,0.076264464,0.078801786,0.081074643,0.083446214,0.085895821,0.088294714,0.090538679,0.092693143,0.094891571,0.096974607,0.098975321,0.10095225,0.102814536,0.104597607,0.106354357,0.10803525,0.109583607,0.111005857,0.1125905,0.113929393,0.115095429,0.115998571,0.116256214,0.11632575,0.116078357,0.115492821,0.114718964
-0.6481074,0.196311643,0.197544393,0.199112036,0.200435536,0.201299607,0.202630286,0.203827393,0.204488286,0.204753714,0.205594964,0.206078536,0.206504571,0.20667825,0.206665357,0.206491,0.206177357,0.205604071,0.204620893,0.202901857,0.199761786,0.194682464,0.188466179,0.18335,0.180342536,0.17873025,0.177966071,0.177120214,0.176337071,0.175736929,0.175631464,0.175990714,0.177514071,0.179484643,0.181127857,0.182765571,0.183983536,0.184576714,0.185193071,0.185792464,0.185900393,0.185943,0.185388643,0.18401075,0.182412036,0.179730714,0.176252464,0.1722325,0.16489514792857143,0.15755779585714286,0.1502204437857143,0.14288309171428573,0.13554573964285715,0.12820838757142858,0.1208710355,0.11353368342857144,0.10619633135714286,0.0988589792857143,0.09152162721428572,0.08418427514285715,0.07684692307142858,0.069509571,0.066935893,0.065490571,0.064779214,0.064548036,0.064580714,0.065096607,0.066347036,0.067955214,0.069756179,0.071756607,0.074263321,0.076499964,0.078915929,0.081264321,0.083628821,0.085873071,0.087962429,0.090147143,0.092290607,0.094196821,0.096172929,0.098034286,0.099894893,0.10165375,0.103321714,0.105093821,0.10673475,0.108365679,0.109869571,0.111056571,0.112070929,0.112404036,0.112566357,0.11230575,0.111681393,0.110854964
-0.8549501,0.1766475,0.177635036,0.178912071,0.179998214,0.180819786,0.181691,0.182685643,0.183376321,0.183591286,0.184417893,0.184692536,0.18507375,0.185426071,0.185514786,0.185401214,0.1853465,0.185042143,0.184459536,0.183258964,0.180999,0.177381821,0.172755643,0.168837929,0.166615714,0.165487214,0.164990643,0.164458214,0.163966643,0.163559929,0.163744214,0.164256393,0.165426036,0.167028286,0.168427857,0.169895357,0.170944429,0.171551,0.172068393,0.17275225,0.172879714,0.173037786,0.172599357,0.1717395,0.17049025,0.168330679,0.165578929,0.162229107,0.15564761214285716,0.14906611728571428,0.14248462242857143,0.13590312757142858,0.1293216327142857,0.12274013785714286,0.116158643,0.10957714814285716,0.10299565328571429,0.09641415842857143,0.08983266357142858,0.08325116871428571,0.07666967385714286,0.070088179,0.067825321,0.066518464,0.065943214,0.065774893,0.065835929,0.066310571,0.06746375,0.068942429,0.070630464,0.072582964,0.075032179,0.077168929,0.079480643,0.081798893,0.084086143,0.086265821,0.08833225,0.090436036,0.09252075,0.094409821,0.096353607,0.098199679,0.099994036,0.101695821,0.103451357,0.105177321,0.106667714,0.108259393,0.109680643,0.11089775,0.111756714,0.112109071,0.112321714,0.1121115,0.111673,0.111143571
-1.8133216,0.156721214,0.15769225,0.159194857,0.160352643,0.1612405,0.162290607,0.163383286,0.164197143,0.164679357,0.165628393,0.166035714,0.166600786,0.167162893,0.1673305,0.167455536,0.167419679,0.167254214,0.166788464,0.165750536,0.163502,0.159795821,0.155307571,0.151512571,0.149529214,0.1483445,0.147934464,0.147570679,0.147142214,0.146983429,0.147158143,0.147883536,0.14911675,0.150787357,0.152254393,0.153744893,0.154767107,0.155511321,0.156224964,0.157000071,0.157223964,0.157438679,0.1571105,0.156294786,0.155112821,0.15313075,0.150458286,0.147196964,0.14129167064285716,0.1353863772857143,0.12948108392857144,0.12357579057142859,0.11767049721428573,0.11176520385714286,0.10585991050000002,0.09995461714285715,0.09404932378571429,0.08814403042857144,0.08223873707142858,0.07633344371428571,0.07042815035714287,0.064522857,0.062443179,0.061297929,0.060715964,0.060470393,0.060504643,0.060885857,0.061937643,0.063244571,0.064700821,0.06638325,0.068455214,0.070316571,0.072297643,0.074242857,0.076250464,0.078084571,0.079920393,0.081656464,0.083453357,0.085081429,0.086703821,0.088259714,0.089752786,0.091236286,0.092714357,0.094101143,0.095442607,0.096780393,0.098031286,0.099096929,0.099859286,0.100259286,0.100298929,0.100224536,0.099718536,0.099187679
