WP,B_1000,B_1007,B_1014,B_1020,B_1027,B_1034,B_1041,B_1048,B_1055,B_1062,B_1069,B_1076,B_1083,B_1090,B_1097,B_1104,B_1111,B_1118,B_1125,B_1132,B_1139,B_1146,B_1153,B_1160,B_1167,B_1174,B_1181,B_1188,B_1195,B_1202,B_1209,B_1216,B_1223,B_1230,B_1237,B_1244,B_1251,B_1258,B_1265,B_1272,B_1279,B_1286,B_1293,B_1300,B_1307,B_1314,B_1321,B_1328,B_1335,B_1342,B_1349,B_1356,B_1363,B_1370,B_1377,B_1384,B_1391,B_1398,B_1405,B_1413,B_1420,B_1427,B_1434,B_1441,B_1448,B_1455,B_1462,B_1469,B_1476,B_1483,B_1490,B_1498,B_1505,B_1512,B_1519,B_1526,B_1533,B_1540,B_1547,B_1554,B_1561,B_1569,B_1576,B_1583,B_1590,B_1597,B_1604,B_1611,B_1618,B_1626,B_1633,B_1640,B_1647,B_1654,B_1661,B_1668,B_1676
-0.744634,0.216315393,0.217716643,0.21929825,0.220603893,0.22168875,0.223090786,0.224264607,0.225142643,0.225699179,0.226643821,0.227248464,0.227783214,0.228401393,0.22844925,0.228580179,0.228613893,0.228275607,0.227575036,0.226341107,0.223629214,0.219277821,0.213847393,0.209285786,0.206576571,0.204945357,0.203871429,0.202661607,0.2016985,0.200862964,0.200840821,0.201490964,0.203265143,0.205528071,0.207528643,0.209426643,0.21072275,0.211527893,0.212251,0.213151821,0.213402607,0.213570179,0.213064679,0.211785036,0.210254821,0.207583857,0.203968929,0.199719464,0.1905204282857143,0.18132139257142857,0.17212235685714286,0.16292332114285715,0.15372428542857142,0.1445252497142857,0.135326214,0.1261271782857143,0.11692814257142856,0.10772910685714285,0.09853007114285713,0.0893310354285714,0.0801319997142857,0.070932964,0.067100321,0.064719929,0.063339143,0.062646107,0.062494179,0.062980107,0.064516214,0.066589357,0.068988607,0.07176975,0.07522375,0.078398143,0.081672036,0.085014536,0.088294179,0.091473286,0.094549107,0.09752025,0.100518893,0.103358464,0.106069893,0.108795357,0.111163643,0.113510464,0.115635393,0.117776821,0.119745929,0.121593286,0.122838036,0.124302429,0.126094,0.127007607,0.127221464,0.127006893,0.126517857,0.126339321
-0.3861065,0.195290893,0.196846821,0.198608214,0.199998286,0.201367929,0.202940929,0.204299179,0.205489571,0.206238036,0.207554143,0.208242786,0.209063357,0.209701143,0.210016143,0.210362571,0.210586571,0.210539036,0.21017775,0.208997786,0.206597393,0.202682964,0.197470286,0.193359536,0.191035036,0.189699321,0.188836964,0.1881195,0.187565643,0.1870215,0.187293,0.188184786,0.189845714,0.191961429,0.193832536,0.195650607,0.197080821,0.19808575,0.198905679,0.19987575,0.200218679,0.200530571,0.200201071,0.199072929,0.197533393,0.194730429,0.191225964,0.187042536,0.17827141607142857,0.16950029614285717,0.16072917621428573,0.1519580562857143,0.14318693635714286,0.13441581642857142,0.1256446965,0.11687357657142858,0.10810245664285714,0.09933133671428572,0.0905602167857143,0.08178909685714286,0.07301797692857143,0.064246857,0.060714607,0.058533179,0.057247571,0.056674321,0.056538321,0.05700725,0.058499893,0.060437179,0.062730464,0.065387714,0.068668107,0.071597357,0.074818857,0.078053143,0.081217393,0.084271214,0.087215857,0.090087857,0.093120893,0.095652321,0.098442286,0.101015964,0.103345357,0.105597107,0.107667571,0.109618429,0.111507071,0.113221571,0.114417571,0.115728893,0.11733175,0.118154286,0.118248357,0.118095071,0.117872571,0.117820571
-0.3378432,0.339818607,0.341922143,0.344320786,0.346176679,0.347819929,0.349650929,0.351445107,0.352687821,0.353402071,0.354522357,0.355264857,0.355901857,0.356197357,0.355991607,0.355895643,0.355485714,0.354790857,0.353500286,0.350999607,0.346251893,0.339084964,0.32993,0.322291357,0.317527679,0.314497643,0.312496071,0.310419643,0.308513,0.306950607,0.306416929,0.307089893,0.3095305,0.3127055,0.315504107,0.318057464,0.319850643,0.320956,0.321886893,0.322931321,0.323080107,0.323145893,0.322148786,0.320096107,0.317374964,0.3129175,0.307211214,0.300453357,0.28615303557142857,0.2718527141428571,0.2575523927142857,0.24325207128571427,0.22895174985714284,0.2146514284285714,0.20035110699999997,0.18605078557142857,0.17175046414285713,0.1574501427142857,0.14314982128571427,0.12884949985714284,0.1145491784285714,0.100248857,0.094307929,0.090565143,0.088334036,0.087289107,0.087098107,0.087930893,0.090352786,0.093641643,0.097353357,0.101633321,0.106899857,0.111707464,0.116816,0.121920464,0.126991107,0.131752179,0.136375036,0.140968714,0.145489143,0.149731786,0.153938571,0.157992893,0.161679571,0.165201821,0.1686775,0.172020179,0.175087071,0.17810475,0.180596714,0.182930714,0.1853345,0.186762321,0.187315393,0.187306107,0.186991143,0.186843786
-0.5515807,0.28695975,0.288926893,0.291170071,0.292839321,0.294304714,0.2960305,0.297706929,0.299063179,0.299694714,0.300936143,0.301813893,0.30251575,0.303021286,0.303160929,0.303168464,0.302988643,0.302481464,0.301533464,0.299603929,0.295801143,0.289942286,0.282509679,0.276315214,0.272648821,0.270410643,0.26909325,0.267550107,0.266282857,0.265191571,0.265014429,0.265955107,0.268106821,0.270946536,0.273342143,0.275781036,0.277382714,0.27839975,0.279288429,0.280420964,0.280598929,0.280787929,0.280219071,0.278573964,0.276536214,0.272903714,0.268242464,0.262610607,0.2507467294285714,0.23888285185714286,0.22701897428571427,0.21515509671428573,0.20329121914285714,0.19142734157142857,0.179563464,0.16769958642857144,0.15583570885714287,0.1439718312857143,0.13210795371428574,0.12024407614285715,0.10838019857142858,0.096516321,0.09159175,0.088653143,0.087066143,0.086369,0.086317429,0.087108464,0.089225893,0.092086571,0.095436964,0.099170143,0.103714571,0.107710714,0.1120505,0.116309357,0.120497036,0.124366964,0.1281,0.131822179,0.135467179,0.1387445,0.142027214,0.145350964,0.148356893,0.151187107,0.153972857,0.156548321,0.159075464,0.161474179,0.163236571,0.165086179,0.167184714,0.168123643,0.168225107,0.168013643,0.167565714,0.167470464
-1.0411086,0.305648964,0.308105714,0.310753786,0.312896,0.314893107,0.317084286,0.3192535,0.320713179,0.321662036,0.3230605,0.323960321,0.324601179,0.324812036,0.324644214,0.324181214,0.323457714,0.322400929,0.32066775,0.317574321,0.311563929,0.302353,0.291457214,0.282611857,0.277098393,0.273818536,0.271485321,0.269072607,0.266980321,0.265195393,0.264736571,0.265769179,0.26866225,0.272378,0.27573625,0.278698893,0.280733,0.282095821,0.283205107,0.284383643,0.284478536,0.284355821,0.283081107,0.280733036,0.277665679,0.272899964,0.266663,0.25915575,0.24625078571428574,0.23334582142857144,0.22044085714285716,0.20753589285714286,0.19463092857142858,0.1817259642857143,0.168821,0.1559160357142857,0.14301107142857142,0.13010610714285714,0.11720114285714284,0.10429617857142856,0.09139121428571426,0.07848625,0.074053214,0.07135225,0.069797357,0.0690965,0.069052429,0.06979775,0.071813964,0.074452643,0.077458036,0.080764821,0.085015607,0.0887785,0.092865214,0.096851143,0.100967429,0.104876821,0.108635179,0.112350357,0.116046893,0.119605429,0.123048857,0.126352893,0.129428929,0.132343071,0.1352,0.137848143,0.14032475,0.142683393,0.143871357,0.145576643,0.148044214,0.149364357,0.149703571,0.149401107,0.14873075,0.148194143
-0.4619489,0.260435107,0.261914857,0.263680929,0.264995643,0.265894714,0.26709925,0.268395214,0.269213393,0.269380321,0.270142107,0.270208393,0.270506964,0.270574429,0.270208107,0.269690929,0.269132893,0.268219286,0.267072036,0.264871286,0.260703071,0.254615643,0.2473225,0.241369357,0.237889893,0.235636321,0.234253321,0.232776,0.231278214,0.230198321,0.229896214,0.230545714,0.232227357,0.234635929,0.236554857,0.238389714,0.239620071,0.240241571,0.240799893,0.241375214,0.24128475,0.241211964,0.240260786,0.238571429,0.23636725,0.232934571,0.22858125,0.223405107,0.21317164528571428,0.20293818357142857,0.19270472185714285,0.18247126014285714,0.17223779842857143,0.1620043367142857,0.151770875,0.1415374132857143,0.13130395157142857,0.12107048985714286,0.11083702814285715,0.10060356642857143,0.09037010471428572,0.080136643,0.076423929,0.074267857,0.073248893,0.072760286,0.072791464,0.073669179,0.075647607,0.078160143,0.081015429,0.084225286,0.088072071,0.091513964,0.095275429,0.098990214,0.102654821,0.106197857,0.109450893,0.11263925,0.115945643,0.119050571,0.122029071,0.124974607,0.127634,0.130177714,0.132573357,0.134814893,0.136910857,0.138872893,0.140162143,0.141651214,0.143478571,0.144420286,0.144744464,0.144541357,0.143890857,0.143367821
-0.7584235,0.283852286,0.286117714,0.288688321,0.290743071,0.292552821,0.29467025,0.29680325,0.298245571,0.299405429,0.300897321,0.302036786,0.303071393,0.303771464,0.303985964,0.304112036,0.304134536,0.303719179,0.302833821,0.300813571,0.296193393,0.2894705,0.28112325,0.274299571,0.27026075,0.268020929,0.266735393,0.265422857,0.264149071,0.263303786,0.26332225,0.264644536,0.267308321,0.2707955,0.273904893,0.276811643,0.279045107,0.280549357,0.281831786,0.283194,0.283640929,0.283974929,0.283402821,0.28166525,0.279402214,0.275425964,0.270075571,0.263717429,0.25162314578571426,0.23952886257142858,0.22743457935714284,0.21534029614285716,0.20324601292857142,0.1911517297142857,0.1790574465,0.16696316328571428,0.15486888007142857,0.14277459685714286,0.13068031364285715,0.11858603042857141,0.1064917472142857,0.094397464,0.090024714,0.087325786,0.08592675,0.085352607,0.085447893,0.0862655,0.0883825,0.091186,0.094359429,0.097973071,0.102419393,0.106346786,0.110598464,0.114712857,0.118826786,0.122792321,0.126534179,0.130294643,0.134023107,0.137407179,0.140900357,0.144208643,0.147146357,0.150075464,0.1528345,0.155526,0.157923357,0.160056214,0.161559393,0.163231679,0.165419464,0.166554036,0.166479357,0.16595675,0.165313679,0.164860607
-0.9652663,0.275986714,0.277789607,0.280080964,0.281696607,0.282976536,0.284567357,0.286218893,0.287502357,0.288261214,0.289395179,0.290169714,0.290856464,0.291473286,0.291436393,0.29132075,0.291132536,0.290830179,0.289958536,0.288135036,0.284435214,0.278737464,0.271563964,0.265655929,0.2620325,0.259749393,0.258389714,0.256933071,0.255544571,0.254476071,0.254345464,0.255163429,0.257291821,0.260191286,0.2625895,0.264958536,0.266572464,0.267604536,0.268456857,0.269405321,0.269597821,0.269769857,0.269120857,0.267588071,0.265689393,0.262264964,0.257766214,0.252375929,0.24076543407142856,0.22915493914285714,0.2175444442142857,0.2059339492857143,0.19432345435714285,0.1827129594285714,0.1711024645,0.15949196957142858,0.14788147464285714,0.1362709797142857,0.12466048478571429,0.11304998985714285,0.10143949492857143,0.089829,0.085091,0.082294929,0.080824214,0.080228143,0.080272393,0.08114175,0.083268,0.086096679,0.089343036,0.09303275,0.097516464,0.101397143,0.105675964,0.109727429,0.113810607,0.117614036,0.121180393,0.124762179,0.1282145,0.131429964,0.134618964,0.137805643,0.140691357,0.143447964,0.146171036,0.148654714,0.151129036,0.153416107,0.155101929,0.156862821,0.158798321,0.159741714,0.159806071,0.159417429,0.158831786,0.15857375
-0.7239497,0.319372821,0.321388857,0.323445929,0.32523325,0.32655375,0.328242714,0.329952429,0.331080714,0.331632714,0.332637536,0.333290071,0.333769357,0.334052036,0.333908179,0.333537357,0.33307075,0.332209964,0.330996214,0.328550893,0.323822571,0.316752357,0.307851393,0.300406214,0.295829321,0.29298975,0.291199071,0.289414821,0.287628357,0.28611725,0.285705321,0.286456964,0.288759286,0.291986679,0.294751643,0.297347821,0.299066321,0.30000475,0.300845,0.30181675,0.301865393,0.30193525,0.301056179,0.299032143,0.296627143,0.292455714,0.287100571,0.280723607,0.2677614462857143,0.25479928557142856,0.24183712485714284,0.22887496414285713,0.21591280342857141,0.2029506427142857,0.189988482,0.17702632128571427,0.16406416057142856,0.15110199985714284,0.13813983914285713,0.12517767842857142,0.1122155177142857,0.099253357,0.094215893,0.091260357,0.089673714,0.089072393,0.089109179,0.090088464,0.092472071,0.095616821,0.099190571,0.103144107,0.108001286,0.112391857,0.116944321,0.121498143,0.125979821,0.130215571,0.134126429,0.138030071,0.141930321,0.145562393,0.149169893,0.152736214,0.156026214,0.15909225,0.162159679,0.165034929,0.167734036,0.170338214,0.172430036,0.174489643,0.176646179,0.177823714,0.178158607,0.178070071,0.177546,0.177255464
-0.7928973,0.368553964,0.370713607,0.373463107,0.375496107,0.37722975,0.379364321,0.381348464,0.382626893,0.383216393,0.384352429,0.385031429,0.385450214,0.385567821,0.384942893,0.384234143,0.3832375,0.381792893,0.379972571,0.376549964,0.370150143,0.360499071,0.348904429,0.339406429,0.333508464,0.329837464,0.327228357,0.324606643,0.322173714,0.320260357,0.31952725,0.320403857,0.323076393,0.326745071,0.330047429,0.33293925,0.334856107,0.336041679,0.336893,0.337981679,0.337974821,0.337693214,0.336470393,0.333836429,0.330651714,0.325303464,0.31869175,0.310727929,0.29602343664285713,0.2813189442857143,0.2666144519285714,0.2519099595714286,0.2372054672142857,0.22250097485714287,0.2077964825,0.19309199014285716,0.17838749778571428,0.16368300542857142,0.14897851307142856,0.1342740207142857,0.11956952835714285,0.104865036,0.099297071,0.095887679,0.093857786,0.093014536,0.092952357,0.093860964,0.096265393,0.09949925,0.103154857,0.107313607,0.11251225,0.117072821,0.122135429,0.127050393,0.131986143,0.136688786,0.141158,0.145734036,0.150257679,0.154480071,0.158631536,0.162621321,0.166177321,0.169770821,0.173242214,0.176376607,0.179427286,0.182327643,0.18426675,0.186384143,0.189078964,0.190600964,0.191051679,0.190997357,0.190231857,0.189564357
