WP,B_1000,B_1007,B_1014,B_1020,B_1027,B_1034,B_1041,B_1048,B_1055,B_1062,B_1069,B_1076,B_1083,B_1090,B_1097,B_1104,B_1111,B_1118,B_1125,B_1132,B_1139,B_1146,B_1153,B_1160,B_1167,B_1174,B_1181,B_1188,B_1195,B_1202,B_1209,B_1216,B_1223,B_1230,B_1237,B_1244,B_1251,B_1258,B_1265,B_1272,B_1279,B_1286,B_1293,B_1300,B_1307,B_1314,B_1321,B_1328,B_1335,B_1342,B_1349,B_1356,B_1363,B_1370,B_1377,B_1384,B_1391,B_1398,B_1405,B_1413,B_1420,B_1427,B_1434,B_1441,B_1448,B_1455,B_1462,B_1469,B_1476,B_1483,B_1490,B_1498,B_1505,B_1512,B_1519,B_1526,B_1533,B_1540,B_1547,B_1554,B_1561,B_1569,B_1576,B_1583,B_1590,B_1597,B_1604,B_1611,B_1618,B_1626,B_1633,B_1640,B_1647,B_1654,B_1661,B_1668,B_1676
-0.4205803,0.22847775,0.229687643,0.231199571,0.232353857,0.233159107,0.234429536,0.235544036,0.236159857,0.236472143,0.237142107,0.237383643,0.237575857,0.237586571,0.237267036,0.236934571,0.236432036,0.235672179,0.234564071,0.2325885,0.229079536,0.223724286,0.216792214,0.21099125,0.207462,0.205229643,0.203713857,0.202074214,0.200621429,0.199677571,0.199736929,0.200680143,0.202574536,0.204854143,0.206818464,0.208525286,0.20964825,0.210226107,0.21079725,0.211441036,0.211443607,0.211336071,0.210401107,0.20877725,0.206851107,0.203744607,0.199668107,0.194856607,0.18514212228571428,0.17542763757142857,0.16571315285714286,0.15599866814285712,0.1462841834285714,0.1365696987142857,0.126855214,0.11714072928571428,0.10742624457142858,0.09771175985714287,0.08799727514285714,0.07828279042857143,0.06856830571428571,0.058853821,0.055847143,0.054079429,0.053147571,0.052762786,0.052775036,0.053363714,0.054882964,0.056900893,0.059168143,0.061703321,0.064968964,0.06796425,0.071162214,0.074424214,0.077813143,0.081032179,0.084128857,0.087287964,0.090302929,0.093104964,0.096006286,0.098706071,0.101132286,0.103435071,0.105562357,0.107496214,0.109392321,0.111194214,0.112681857,0.113853214,0.114775429,0.115072286,0.114926821,0.114762357,0.114462429,0.113578857
-0.344738,0.260662643,0.261957607,0.263743036,0.264983393,0.265810929,0.267020643,0.268189393,0.268897857,0.268924357,0.269694821,0.269956536,0.270287536,0.2703235,0.26990925,0.269333321,0.26881475,0.267946714,0.266613214,0.264367929,0.260542071,0.254620607,0.246879964,0.240446464,0.236720679,0.234504036,0.232897571,0.2311975,0.229564679,0.228728536,0.228806,0.2297165,0.231478214,0.233951464,0.23588025,0.237763,0.238935464,0.239555393,0.240164607,0.240716571,0.240553143,0.240424964,0.239381321,0.237472393,0.235305,0.231722929,0.227259321,0.221948643,0.210772643,0.199596643,0.188420643,0.177244643,0.16606864300000002,0.154892643,0.143716643,0.132540643,0.121364643,0.110188643,0.099012643,0.08783664299999999,0.076660643,0.065484643,0.062141429,0.0602,0.059155214,0.058772821,0.058892179,0.059617071,0.061425786,0.063865786,0.066524643,0.069618964,0.073471714,0.076928893,0.080690071,0.08454675,0.088370714,0.092082143,0.095623679,0.099075321,0.102573964,0.105790393,0.108960214,0.111952214,0.114695571,0.117275464,0.119598,0.121830071,0.123878036,0.125798071,0.127583964,0.128948393,0.129873893,0.129949714,0.129764607,0.129487821,0.129342893,0.128437607
-0.1172109,0.277596571,0.278939321,0.280742429,0.281992893,0.282998,0.284227714,0.285388679,0.286135857,0.28636725,0.287019214,0.287124714,0.287360607,0.287443107,0.287069679,0.286698071,0.286131429,0.285300536,0.28401375,0.281788571,0.27809725,0.272539607,0.265314286,0.259151107,0.255537679,0.253603393,0.252524929,0.251311,0.250473071,0.249798429,0.249783786,0.25019125,0.251560536,0.253291964,0.254627036,0.255936893,0.256856464,0.257240536,0.257642607,0.258161429,0.257902643,0.257516286,0.256447607,0.254526857,0.252232714,0.248515714,0.243911714,0.238485536,0.22661264314285715,0.2147397502857143,0.2028668574285714,0.1909939645714286,0.1791210717142857,0.16724817885714285,0.155375286,0.14350239314285715,0.1316295002857143,0.11975660742857144,0.10788371457142859,0.09601082171428571,0.08413792885714286,0.072265036,0.06837875,0.066127679,0.064922036,0.064421,0.064426929,0.065274393,0.067272643,0.069973571,0.073102321,0.076602143,0.080904429,0.084874571,0.089183571,0.093496321,0.097805107,0.101988429,0.106007643,0.109956,0.113912821,0.117473964,0.1211215,0.124413536,0.127498464,0.130287,0.132839321,0.135240071,0.137484179,0.139691321,0.141660321,0.143160821,0.144269893,0.144575464,0.144196643,0.144333429,0.144582393,0.14468125
-0.6756864,0.286418464,0.288125071,0.290161179,0.291718786,0.292857821,0.294305,0.295761679,0.296710143,0.297187357,0.297935036,0.298453821,0.298952143,0.299273357,0.299091143,0.298699893,0.298399893,0.297715107,0.296505036,0.294397786,0.290299964,0.284064393,0.27599725,0.269229464,0.265282214,0.262951643,0.261362036,0.259604821,0.258049536,0.257470821,0.257773071,0.258968643,0.261262321,0.264152214,0.266505143,0.268696,0.2702655,0.271106786,0.271790857,0.272603714,0.272401929,0.27232125,0.271399857,0.269519464,0.26727775,0.263448786,0.258449571,0.252727143,0.24033610985714285,0.2279450767142857,0.21555404357142854,0.20316301042857143,0.19077197728571427,0.17838094414285713,0.165989911,0.15359887785714285,0.1412078447142857,0.12881681157142857,0.11642577842857144,0.10403474528571427,0.09164371214285713,0.079252679,0.075680571,0.073777643,0.072918071,0.072583893,0.072785821,0.073724214,0.075804714,0.078598036,0.081770071,0.08542275,0.089915429,0.093931179,0.09830075,0.102653107,0.106875536,0.110969571,0.114976786,0.118957607,0.122807821,0.126393571,0.129937321,0.133378107,0.136471357,0.139374679,0.142074464,0.144665286,0.147116357,0.14933325,0.151204786,0.15267925,0.153868286,0.154352643,0.154263464,0.153928929,0.153253036,0.151508571
-0.7170549,0.26652175,0.2681315,0.270045107,0.271340071,0.272443536,0.273941286,0.275140821,0.276150357,0.276628964,0.277680036,0.27830675,0.278755786,0.279108429,0.279288,0.279300143,0.279094607,0.27868075,0.277730214,0.275892214,0.2726235,0.26747575,0.260485964,0.254618036,0.251138679,0.2490435,0.24748775,0.245886071,0.244540643,0.24385425,0.244190964,0.245347964,0.247747071,0.250532714,0.25275375,0.254951857,0.256431286,0.257168179,0.257894929,0.258736821,0.258730714,0.258902571,0.258101143,0.25651425,0.254575571,0.251429821,0.247321286,0.242456393,0.230698069,0.218939745,0.207181421,0.195423097,0.183664773,0.17190644900000002,0.160148125,0.148389801,0.136631477,0.124873153,0.113114829,0.10135650500000001,0.089598181,0.077839857,0.073933107,0.071732321,0.070672143,0.070349607,0.070505464,0.071435214,0.0735455,0.076447321,0.079731393,0.083432214,0.087944643,0.09195125,0.096317821,0.100609679,0.104803714,0.108778964,0.112531,0.116167536,0.119767143,0.123077929,0.126417643,0.129572143,0.132487643,0.135227036,0.137780893,0.140168143,0.142372357,0.144567143,0.146345964,0.147507964,0.148648893,0.148922107,0.14855025,0.148237357,0.147603964,0.146265321
-0.5377912,0.278604107,0.280151929,0.282208786,0.283907,0.285184786,0.286710214,0.287964893,0.288801571,0.288949179,0.289842393,0.290042786,0.290146357,0.290235464,0.289580929,0.288858929,0.2879265,0.286711357,0.285088857,0.282167964,0.277093964,0.269281714,0.259486571,0.251499143,0.247055107,0.244572286,0.243012964,0.24140925,0.239905107,0.238943893,0.239175321,0.240162929,0.24223,0.2448685,0.247076714,0.249117357,0.250514071,0.251262464,0.251758857,0.252389071,0.252035821,0.251569143,0.250173643,0.247943464,0.245050179,0.240667,0.235102393,0.228466393,0.21661691849999998,0.204767444,0.19291796949999998,0.181068495,0.16921902049999998,0.15736954599999997,0.1455200715,0.133670597,0.12182112249999999,0.10997164799999999,0.09812217349999999,0.08627269899999998,0.0744232245,0.06257375,0.059596393,0.057942214,0.057190857,0.057000786,0.05720575,0.058105036,0.060058071,0.062563821,0.065318929,0.068404214,0.072326643,0.075901643,0.079740286,0.083704429,0.087604821,0.091489821,0.095143321,0.098778321,0.102422286,0.105805536,0.109303929,0.112446036,0.115328321,0.118052536,0.120593857,0.122937679,0.125273429,0.127365929,0.129277036,0.130731107,0.131878464,0.132201214,0.132090321,0.131943429,0.131740321,0.130926357
-0.9032134,0.365548393,0.367762214,0.370293607,0.372277643,0.373890071,0.375721357,0.377361643,0.378328179,0.378635214,0.379484036,0.379593964,0.379685607,0.379440643,0.378542286,0.377507929,0.37625175,0.374641071,0.372082357,0.368034107,0.361253643,0.350809393,0.337627536,0.326749643,0.320558571,0.317311929,0.315171357,0.312668643,0.310431821,0.309012143,0.30923825,0.310542786,0.313262786,0.316706071,0.319691429,0.32230825,0.324096821,0.324976179,0.325674036,0.326419714,0.32593475,0.325288643,0.323366393,0.320183643,0.316343464,0.310377571,0.30286775,0.294022821,0.277945571,0.261868321,0.245791071,0.22971382099999998,0.213636571,0.197559321,0.18148207100000002,0.165404821,0.14932757100000002,0.133250321,0.11717307100000002,0.10109582100000003,0.08501857100000001,0.068941321,0.064932964,0.062693786,0.061613964,0.061318,0.061556786,0.062686893,0.06520675,0.068477857,0.072099357,0.076135214,0.081251393,0.086075857,0.091248393,0.096569964,0.101920964,0.107156393,0.112244036,0.117361464,0.122361929,0.126984107,0.131824,0.1361395,0.140045321,0.143735607,0.147203107,0.150370036,0.153228571,0.156045286,0.158562786,0.160379036,0.161730071,0.161950786,0.161631964,0.161556286,0.161569143,0.160725571
-1.1376352,0.249065143,0.250396357,0.251955571,0.253180357,0.254065607,0.25538225,0.256582107,0.257185964,0.257451393,0.258245,0.258723536,0.259203143,0.259322429,0.259196429,0.258983214,0.258660893,0.258110036,0.257095357,0.25539925,0.252098857,0.247049893,0.240470393,0.235164786,0.232064,0.230236107,0.228955143,0.227521393,0.226448643,0.225880536,0.226196071,0.227189321,0.229172679,0.231540071,0.233623286,0.235532714,0.236810429,0.237451107,0.238094071,0.238778143,0.238811321,0.238832143,0.237986071,0.23643975,0.234694929,0.231692393,0.22785275,0.223394571,0.21332945878571427,0.20326434657142856,0.19319923435714284,0.18313412214285713,0.1730690099285714,0.1630038977142857,0.1529387855,0.14287367328571426,0.13280856107142858,0.12274344885714285,0.11267833664285713,0.10261322442857143,0.09254811221428572,0.082483,0.079459,0.077891321,0.077214286,0.077031036,0.077318464,0.078194286,0.080090357,0.082605357,0.085381714,0.088461179,0.092282643,0.095739286,0.099405643,0.102972179,0.106596179,0.11005725,0.113242321,0.116426821,0.119538357,0.122511536,0.12536725,0.128091714,0.130586929,0.133033607,0.135248679,0.137333393,0.139342607,0.141231929,0.142596286,0.143906179,0.144883071,0.145344,0.145070429,0.144728429,0.143958143,0.142496714
-1.6409527,0.279077464,0.280570036,0.282569429,0.283971357,0.28498425,0.286406357,0.287594571,0.288395679,0.288687571,0.289247429,0.289563321,0.289647286,0.289504571,0.289029857,0.288425393,0.287642071,0.286530821,0.28497025,0.282445,0.27786875,0.270997357,0.262287357,0.255238464,0.251432964,0.2495295,0.248488786,0.247486964,0.246595143,0.246079143,0.246201857,0.246709536,0.248114964,0.249977464,0.251545571,0.253020036,0.254015036,0.254479714,0.254752214,0.255224893,0.254673643,0.254169964,0.252927571,0.250692393,0.247869964,0.243699107,0.238425143,0.232148643,0.21997057157142857,0.20779250014285713,0.1956144287142857,0.18343635728571428,0.17125828585714287,0.15908021442857143,0.14690214299999999,0.13472407157142857,0.12254600014285714,0.11036792871428572,0.09818985728571428,0.08601178585714286,0.07383371442857145,0.061655643,0.058556893,0.056862786,0.056166214,0.055970714,0.056239714,0.057165214,0.059263714,0.062016321,0.065053643,0.068544679,0.072864071,0.076783107,0.081072964,0.085381929,0.089760857,0.094082607,0.098191143,0.102241393,0.106274143,0.110058929,0.113764286,0.117194536,0.120324893,0.123277929,0.125903714,0.128339286,0.130673714,0.132897321,0.134974179,0.136523107,0.13757,0.13788125,0.137677321,0.13765425,0.137801036,0.137827679
-1.1927933,0.16879675,0.169687714,0.170779071,0.171609643,0.172066214,0.172868821,0.173525036,0.173861821,0.17411,0.174478179,0.174522536,0.17463225,0.174716357,0.174505857,0.174259464,0.173863821,0.173419107,0.17262475,0.171294143,0.169038143,0.16538725,0.160676107,0.15672775,0.154622893,0.1534435,0.152645464,0.151791,0.151070071,0.150551321,0.15069175,0.151254857,0.152415786,0.153881786,0.154996964,0.156089179,0.156811321,0.157130429,0.157427893,0.157824893,0.157698464,0.157513536,0.156951893,0.155832786,0.154434071,0.152273321,0.149376964,0.146078964,0.13892467321428573,0.13177038242857142,0.12461609164285714,0.11746180085714286,0.11030751007142858,0.10315321928571429,0.0959989285,0.08884463771428572,0.08169034692857144,0.07453605614285715,0.06738176535714285,0.060227474571428574,0.053073183785714295,0.045918893,0.043883464,0.042731679,0.042202214,0.042023857,0.042192679,0.042834821,0.044118143,0.045912464,0.04784775,0.050064036,0.052782214,0.055214857,0.05783175,0.060538536,0.063211857,0.065831714,0.068204607,0.070593964,0.073052571,0.075207107,0.077414821,0.079542036,0.081370929,0.083152321,0.084676679,0.086136571,0.087576679,0.089070679,0.09007825,0.090902786,0.091665179,0.091916536,0.09188625,0.091698143,0.09142925,0.090821179
