WP,B_1000,B_1007,B_1014,B_1020,B_1027,B_1034,B_1041,B_1048,B_1055,B_1062,B_1069,B_1076,B_1083,B_1090,B_1097,B_1104,B_1111,B_1118,B_1125,B_1132,B_1139,B_1146,B_1153,B_1160,B_1167,B_1174,B_1181,B_1188,B_1195,B_1202,B_1209,B_1216,B_1223,B_1230,B_1237,B_1244,B_1251,B_1258,B_1265,B_1272,B_1279,B_1286,B_1293,B_1300,B_1307,B_1314,B_1321,B_1328,B_1335,B_1342,B_1349,B_1356,B_1363,B_1370,B_1377,B_1384,B_1391,B_1398,B_1405,B_1413,B_1420,B_1427,B_1434,B_1441,B_1448,B_1455,B_1462,B_1469,B_1476,B_1483,B_1490,B_1498,B_1505,B_1512,B_1519,B_1526,B_1533,B_1540,B_1547,B_1554,B_1561,B_1569,B_1576,B_1583,B_1590,B_1597,B_1604,B_1611,B_1618,B_1626,B_1633,B_1640,B_1647,B_1654,B_1661,B_1668,B_1676
-0.1172109,0.196006464,0.197572143,0.199439786,0.200929679,0.202308214,0.203828821,0.205358464,0.206378786,0.207151214,0.20822275,0.208812036,0.20951025,0.209986964,0.210130821,0.21019625,0.210040429,0.209703536,0.209006321,0.207452857,0.204344107,0.199256071,0.192800536,0.187482929,0.184438821,0.182814964,0.181884071,0.180999714,0.180391143,0.180273714,0.180662143,0.181502107,0.183205571,0.185178929,0.187014964,0.188680679,0.189984214,0.191050929,0.191935179,0.192951964,0.193112857,0.19323375,0.19264375,0.191171857,0.189154714,0.186035893,0.181949786,0.176957,0.16794843114285715,0.1589398622857143,0.14993129342857142,0.14092272457142857,0.13191415571428572,0.12290558685714287,0.113897018,0.10488844914285715,0.0958798802857143,0.08687131142857143,0.07786274257142858,0.06885417371428573,0.05984560485714287,0.050837036,0.047903464,0.046087643,0.04508225,0.044641071,0.04456925,0.045021964,0.046360393,0.048152321,0.05014975,0.052466714,0.055353679,0.058050071,0.060979786,0.063951929,0.066970929,0.0699085,0.07271525,0.075491036,0.078407214,0.081015357,0.083851536,0.086408179,0.088685643,0.090958429,0.09318525,0.095157179,0.097078393,0.098968357,0.100752857,0.102122786,0.103348179,0.103976214,0.104294571,0.104385607,0.104422786,0.104121536
-0.05515807,0.214553679,0.2161785,0.218148143,0.219742643,0.221032143,0.222760393,0.224385536,0.225462536,0.226137929,0.227184393,0.227831786,0.228482643,0.228725429,0.2286935,0.228441393,0.228104679,0.227538643,0.226455786,0.224437464,0.22043225,0.214298357,0.206758107,0.200334321,0.196528643,0.19424325,0.192874214,0.191416,0.190363964,0.189836036,0.1900595,0.190873357,0.192520536,0.194608179,0.19638675,0.198254893,0.199672929,0.20052225,0.201183464,0.201877357,0.201913036,0.201943357,0.201127,0.199444786,0.197180429,0.193659571,0.189019214,0.183641179,0.17417453357142856,0.16470788814285714,0.15524124271428572,0.1457745972857143,0.13630795185714284,0.12684130642857142,0.11737466099999999,0.10790801557142857,0.09844137014285714,0.08897472471428572,0.07950807928571428,0.07004143385714286,0.06057478842857143,0.051108143,0.047994393,0.046108286,0.044965071,0.044409071,0.044300464,0.044804464,0.046020607,0.047711036,0.049648429,0.051892929,0.054675464,0.057273571,0.06009175,0.062933679,0.065848643,0.068657,0.071337286,0.074019,0.076688393,0.079216714,0.081805786,0.08425875,0.086558429,0.088710429,0.090847357,0.092914036,0.094935607,0.096909321,0.098648786,0.100204536,0.101534536,0.10222025,0.102440679,0.102492393,0.10252875,0.102322464
-0.08273711,0.200847286,0.202395071,0.204086036,0.20551575,0.206824286,0.208192286,0.209569714,0.21060275,0.211286071,0.212314464,0.212985964,0.213589607,0.214038321,0.214197536,0.214394786,0.214331464,0.214191714,0.213565143,0.212237143,0.209433786,0.204872714,0.198873821,0.194073786,0.191408893,0.189949286,0.189107,0.188357714,0.187867929,0.187771357,0.188171286,0.188972,0.190468286,0.1924125,0.193992179,0.195657643,0.196932821,0.197755,0.198490107,0.199303286,0.199473893,0.199703143,0.199104571,0.197778929,0.195926393,0.192839929,0.188983607,0.184308214,0.1751678875,0.166027561,0.1568872345,0.147746908,0.1386065815,0.129466255,0.1203259285,0.111185602,0.10204527549999999,0.09290494899999999,0.0837646225,0.07462429599999999,0.06548396949999999,0.056343643,0.053314821,0.051435214,0.050435714,0.049957786,0.04994525,0.050481643,0.051924464,0.053903321,0.056172179,0.0586835,0.061960607,0.064920929,0.068153429,0.071419893,0.074718893,0.077927536,0.081006786,0.084135929,0.087239179,0.090130929,0.093070714,0.095821036,0.098426643,0.100852036,0.103146536,0.105339893,0.107412857,0.10942325,0.111316214,0.11281725,0.113961964,0.11475325,0.115112643,0.115243571,0.115253821,0.114808893
-0.2688956,0.22365425,0.225398893,0.227472071,0.229162643,0.230736857,0.232481071,0.234220071,0.235447679,0.23622875,0.237440607,0.238112857,0.238791821,0.23922175,0.239261036,0.239077071,0.238889,0.238294464,0.237136,0.235029393,0.231051179,0.224691536,0.216725964,0.20998675,0.205984286,0.203574857,0.202113607,0.200773321,0.199700036,0.199297786,0.199735857,0.200626143,0.202623786,0.205078464,0.207163679,0.209233607,0.210789786,0.211802357,0.212700893,0.2137135,0.213897357,0.213940714,0.213170429,0.211441964,0.209177857,0.205568679,0.200705429,0.195016857,0.18527167335714284,0.1755264897142857,0.16578130607142855,0.1560361224285714,0.14629093878571425,0.13654575514285713,0.1268005715,0.11705538785714284,0.10731020421428569,0.09756502057142855,0.08781983692857141,0.07807465328571427,0.06832946964285713,0.058584286,0.055575286,0.053758964,0.052728929,0.052294179,0.052271036,0.052724321,0.054033857,0.0558525,0.057898179,0.060174429,0.063088036,0.065722214,0.068581929,0.071438357,0.074388821,0.077204929,0.079884429,0.082594464,0.085267679,0.087849107,0.090366464,0.092796214,0.095104643,0.097310286,0.099426393,0.101365071,0.103346893,0.105167143,0.106878857,0.108238964,0.109317643,0.109799286,0.109793679,0.109696071,0.109317571,0.108835036
-0.96526627,0.258309107,0.260143964,0.262299357,0.264107036,0.265553929,0.267123643,0.268804143,0.269884893,0.270443107,0.271608571,0.272201964,0.272699429,0.2731155,0.273079786,0.272818929,0.272458464,0.271883321,0.270707321,0.268661786,0.264660714,0.258151929,0.249996321,0.243289286,0.239410536,0.237131964,0.235943179,0.234678571,0.233752071,0.23348675,0.233876893,0.234920714,0.236954607,0.239389286,0.241577429,0.243728679,0.245262429,0.246181964,0.247066679,0.247965179,0.248030893,0.248187143,0.247320643,0.245509393,0.243141714,0.239331786,0.23445675,0.22866775,0.21773995407142857,0.20681215814285714,0.19588436221428573,0.18495656628571427,0.17402877035714287,0.16310097442857144,0.1521731785,0.14124538257142857,0.13031758664285714,0.11938979071428571,0.10846199478571429,0.09753419885714287,0.08660640292857144,0.075678607,0.072199214,0.070264,0.069189,0.068844571,0.068959571,0.069635964,0.071366429,0.073684286,0.076295893,0.079262929,0.082872357,0.086198714,0.089827464,0.093519929,0.097103714,0.100627036,0.104000429,0.107263286,0.110606214,0.113687429,0.116809179,0.119869821,0.122678357,0.125281821,0.127872321,0.130215036,0.132484821,0.134765964,0.136821679,0.138406786,0.139693964,0.140171,0.140253893,0.140213,0.139860286,0.139224571
-0.08963187,0.213865929,0.215514321,0.217610107,0.219181714,0.2207955,0.222396,0.223963214,0.225069821,0.225845821,0.226957679,0.227680821,0.228379,0.228755643,0.228919964,0.228854643,0.228813321,0.228391321,0.227427,0.22561225,0.222032071,0.216343607,0.209107857,0.202965893,0.199358,0.197349821,0.195971071,0.194662464,0.193831714,0.193475893,0.193997714,0.195156714,0.196980786,0.199146036,0.201220214,0.203155214,0.204819714,0.20580175,0.20677875,0.207695714,0.207958643,0.208049607,0.207326821,0.205816571,0.203744321,0.200301214,0.195878143,0.190587714,0.18106658135714285,0.1715454487142857,0.16202431607142856,0.15250318342857141,0.14298205078571427,0.13346091814285715,0.1239397855,0.11441865285714285,0.10489752021428571,0.09537638757142856,0.08585525492857142,0.07633412228571429,0.06681298964285715,0.057291857,0.054228107,0.052262143,0.051114036,0.050649357,0.050568786,0.051069107,0.052366429,0.054154786,0.056202607,0.058633036,0.061584679,0.064352929,0.067260821,0.07030575,0.073299607,0.07628475,0.079118429,0.081847036,0.08468225,0.087338536,0.090134893,0.092622571,0.095038679,0.097281464,0.099418821,0.101494679,0.103529571,0.105443464,0.107117893,0.108568107,0.109734714,0.11035625,0.110468857,0.110466143,0.11021725,0.109727821
-0.59984404,0.212540964,0.213963679,0.215746429,0.217054679,0.218160571,0.219508929,0.220691214,0.221533893,0.22210375,0.222992214,0.22357025,0.224119821,0.224490357,0.224518929,0.224387071,0.224197929,0.223679464,0.222878143,0.221276929,0.218154536,0.213234929,0.206882893,0.201514393,0.198165393,0.196268607,0.195059464,0.193962643,0.192987786,0.192651964,0.192952714,0.193786,0.195633429,0.197772036,0.199640536,0.201511214,0.202800036,0.203600643,0.204493929,0.205281071,0.205470143,0.205650036,0.205175821,0.20387175,0.202130214,0.1993075,0.195540857,0.190901464,0.18190040535714286,0.1728993467142857,0.16389828807142856,0.15489722942857143,0.14589617078571426,0.13689511214285713,0.1278940535,0.11889299485714284,0.1098919362142857,0.10089087757142856,0.09188981892857141,0.08288876028571426,0.07388770164285713,0.064886643,0.061832679,0.0600075,0.05913275,0.058723286,0.058726321,0.059336821,0.060751571,0.062604821,0.064769464,0.067169607,0.070248036,0.072987179,0.075883357,0.078858357,0.081849821,0.084542929,0.087130357,0.089680786,0.092301286,0.094683893,0.097072929,0.099500107,0.101595214,0.103787143,0.105868464,0.107919357,0.109941071,0.111885821,0.113824464,0.115174071,0.116299857,0.116971964,0.117023036,0.116875107,0.116599857,0.115954679
-0.86184489,0.320675929,0.323697,0.327156929,0.330007179,0.332592214,0.33560625,0.33809675,0.339974,0.341014286,0.34251675,0.343466929,0.343839036,0.343925429,0.343278857,0.342164786,0.34081825,0.338997464,0.336311964,0.331667821,0.323425143,0.310805179,0.295811571,0.283611571,0.276378857,0.272245714,0.269781607,0.267388464,0.265438536,0.264483929,0.264663321,0.26591425,0.268635714,0.272137429,0.275110607,0.278005964,0.280158036,0.281537107,0.282672214,0.283790536,0.283627786,0.283224321,0.281633786,0.278408357,0.27427625,0.268131143,0.260361286,0.251339107,0.23819497435714287,0.22505084171428572,0.21190670907142858,0.19876257642857142,0.1856184437857143,0.17247431114285716,0.1593301785,0.14618604585714284,0.1330419132142857,0.11989778057142858,0.10675364792857142,0.09360951528571429,0.08046538264285713,0.06732125,0.063774714,0.061671464,0.060514893,0.060088607,0.060135679,0.060812786,0.062636857,0.065026679,0.06759625,0.070399143,0.074053036,0.077351036,0.080932071,0.084683821,0.088478464,0.092099571,0.095599821,0.0991165,0.102741679,0.106073143,0.109567179,0.112707214,0.115699286,0.118532643,0.121327214,0.123933643,0.126402607,0.128915964,0.131288607,0.133006643,0.134411214,0.135058643,0.135333929,0.135353821,0.135132,0.134608179
-2.62000845,0.234380607,0.236266321,0.238436286,0.240134,0.241605286,0.24347,0.245050036,0.246365821,0.247247929,0.248438464,0.24921775,0.249858464,0.250321071,0.250449786,0.250468964,0.250499786,0.250049536,0.249239214,0.247314429,0.243577071,0.237575857,0.229992679,0.223912214,0.2205325,0.218879286,0.217957321,0.217015964,0.216366143,0.216192429,0.216856607,0.217994571,0.219979821,0.222367571,0.224375857,0.22662825,0.228297214,0.229348821,0.230325464,0.231375357,0.231650643,0.231838929,0.23103375,0.229532821,0.227457036,0.22399775,0.219521071,0.21419775,0.20450299492857144,0.19480823985714285,0.18511348478571427,0.1754187297142857,0.16572397464285715,0.15602921957142857,0.14633446449999998,0.13663970942857143,0.12694495435714287,0.11725019928571428,0.10755544421428571,0.09786068914285714,0.08816593407142856,0.078471179,0.075395464,0.073587071,0.072691179,0.072325393,0.072366179,0.073091464,0.074643964,0.0768245,0.07931325,0.082020893,0.085487179,0.088636321,0.091933107,0.095351393,0.098757607,0.102031679,0.105185,0.108308929,0.111449964,0.114325893,0.117391071,0.120218214,0.122781464,0.125371143,0.127787571,0.130114107,0.132266893,0.134493179,0.136356143,0.137955607,0.139259429,0.139910214,0.139951036,0.139962786,0.139728286,0.139160321
-0.66879163,0.298362,0.300897571,0.303987321,0.306297143,0.308504286,0.311179821,0.313422679,0.315242786,0.316523429,0.317934393,0.318967286,0.319794214,0.320246464,0.320082179,0.319861607,0.319471679,0.31851775,0.316708357,0.313654071,0.307773357,0.29831425,0.286763357,0.277313214,0.271736893,0.268447464,0.266452,0.264474036,0.263108607,0.262738536,0.263449857,0.264949071,0.267554964,0.270749714,0.273563607,0.276363714,0.27851225,0.280059214,0.281384,0.282713929,0.282870821,0.282865429,0.281646571,0.279183179,0.275963179,0.2708195,0.2642015,0.256289071,0.24342681849999998,0.23056456599999997,0.21770231349999997,0.204840061,0.19197780849999999,0.17911555599999998,0.1662533035,0.153391051,0.1405287985,0.127666546,0.11480429349999999,0.10194204099999998,0.08907978849999998,0.076217536,0.072281107,0.069820786,0.068439429,0.067792429,0.06771675,0.068421321,0.070132571,0.072571857,0.075296214,0.078366821,0.082228857,0.085760571,0.089723429,0.093609286,0.097583964,0.101475464,0.105197071,0.108971571,0.112695929,0.116175857,0.119793214,0.123297143,0.126364929,0.129351679,0.13226075,0.134942,0.137455536,0.140017464,0.142353464,0.144072571,0.145628607,0.146434429,0.146629,0.146620464,0.146425714,0.145725929
